steps	episodes	elapsed	mean	median	stdev	max	min	low_con_average_q1	low_con_average_q2	low_con_average_q_func1_loss	low_con_average_q_func2_loss	low_con_average_policy_loss	low_con_q1_recent_variance	low_con_q2_recent_variance	low_con_policy_gradients_variance	low_con_policy_gradients_mean	low_con_policy_n_updates	low_con_q_func_n_updates	high_con_average_q1	high_con_average_q2	high_con_average_q_func1_loss	high_con_average_q_func2_loss	high_con_average_policy_loss	high_con_q1_recent_variance	high_con_q2_recent_variance	high_con_policy_gradients_variance	high_con_policy_gradients_mean	high_con_policy_n_updates	high_con_q_func_n_updates	final_x	final_y	final_z	state_reached_diff	state_reached_direction_diff	subgoals_mag_diff	subgoals_direction_diff
190314	238	5427.880545139313	-231.1024135216207	-294.5839254504187	110.44197709019343	-0.08632352067915931	-327.24843416866065	-692.9294	-693.6794	20.470102906227112	19.8821404838562	688.6581677246094	87566.7	87583.7	0.0	0.0	93907	187815	-8.013724	-8.010754	0.014561912762001156	0.013830646490678191	7.8868800115585325	13.900104	13.841827	0.0	0.0	9392	18784	1.238342188777985	-0.9249854586183532	0.17888017794321787	1.1321122911081278	-0.052479340763813796	0.0009405230037530422	0.9999996558623567
195321	245	5578.930605173111	-153.33131600886196	-155.63914272952934	76.51199222921632	-0.08799201690882694	-305.2437359926129	-699.4431	-699.38214	18.2471741771698	17.703010621070863	692.8723834228516	110066.836	108551.164	0.0	0.0	96411	192822	-7.8731813	-7.8739543	0.013572436238173396	0.012670485889539123	8.04636872291565	8.199513	8.162019	0.0	0.0	9642	19285	0.7779403512388714	0.3338261429947782	0.49513721283800916	1.9115064544098705	-0.8290136547617998	0.032564736355674424	0.9999546160980687
200301	252	5733.0660405159	-166.51251602641958	-151.1044791709342	94.58086503599577	-0.07320763363854679	-310.8389412335253	-696.4487	-696.31726	20.83516303539276	20.344008736610412	696.7736218261718	98822.45	99590.23	0.0	0.0	98901	197802	-8.126675	-8.117949	0.013572267428971828	0.012405497301369906	8.195595364570618	8.331789	8.306245	0.0	0.0	9891	19783	0.2851187471462351	0.6649950801465672	0.21965682599437897	1.568596117996664	-0.6253171104972384	0.005114102304324097	0.9999967633985324
205308	259	5888.246885538101	-184.42672155268195	-179.64500927748048	93.64522913994286	-0.08253402371785128	-310.07206538627844	-721.35474	-721.4777	19.0768123626709	18.774080543518068	708.9369573974609	113207.33	115016.98	0.0	0.0	101404	202809	-8.534308	-8.534634	0.015439156647771598	0.016832404625602065	8.386076536178589	17.258446	17.018387	0.0	0.0	10141	20283	-0.9458748427323624	0.9623956277503878	0.5768411833787368	0.9412977240517966	-0.5132927552942724	0.8251948835743222	0.8661555841368508
210317	268	6043.694632768631	-220.94309566675176	-239.0532312747644	95.13553297869407	-0.09285411636361393	-310.76973898322103	-722.40625	-723.3914	18.52198404788971	17.98935917377472	712.4292486572266	128852.54	132690.02	0.0	0.0	103909	207818	-8.63975	-8.642065	0.01658313537016511	0.01605194341391325	8.50853141784668	16.397488	16.291348	0.0	0.0	10392	20784	-1.0856135399292555	-0.02345102612063743	-0.17304299751651087	1.5286011990040482	-0.49843167136847155	0.005534964123580489	0.9999950730364197
215323	274	6192.415514945984	-177.0583761162297	-179.49614135190694	118.8247768364868	-0.030264131619456375	-330.259107498465	-730.311	-731.635	20.749647464752197	19.940942845344544	722.08814453125	139983.4	142027.53	0.0	0.0	106412	212824	-8.609546	-8.609105	0.013374412967823445	0.014185079652816058	8.656967153549195	13.0686035	12.958826	0.0	0.0	10642	21285	0.2511573176767936	-0.9950864540561898	-0.22645915130477956	1.7439440256129324	-0.09781407056254947	0.02313183225859493	0.9999128697916001
220329	280	6340.961280822754	-174.51383502666786	-176.9541479506666	126.80035308876856	-0.05222170430868295	-371.69621044649824	-741.0706	-739.5789	19.321675114631653	18.532202110290527	723.1778240966797	155021.48	149611.53	0.0	0.0	108915	217830	-8.804953	-8.814097	0.0174483202630654	0.014330552448518575	8.805236406326294	14.224052	14.019484	0.0	0.0	10892	21785	0.44973705586065527	0.5438814281559043	0.48178782272911036	1.6627262249569343	0.190767999788689	0.004190315428297077	0.9999969399902473
225334	285	6479.4137217998505	-146.52693167442197	-147.17679051789275	115.03037756531525	-0.039141624706424044	-310.7497653135121	-738.0374	-739.18036	19.65233799934387	18.93133367061615	731.0755395507813	104428.92	105976.5	0.0	0.0	111417	222835	-8.973072	-8.983952	0.01474342776928097	0.016935962131246925	8.879215421676635	14.091685	14.06737	0.0	0.0	11143	22286	0.706412894610507	-0.9397458064318834	0.8209009865491887	1.4873607637386013	0.7990919063170979	0.005768944819413363	0.9999972811734281
230340	291	6633.8279848098755	-211.67710740995759	-235.49155576331412	97.74734094654636	-0.08252183983751668	-327.2410007599519	-754.317	-752.7874	20.60294461250305	20.03764585494995	738.2900573730469	146145.98	144473.3	0.0	0.0	113920	227841	-9.073054	-9.082106	0.016235127612017095	0.014971838281489909	9.098369331359864	13.274445	13.344301	0.0	0.0	11393	22786	-0.9649451630013995	0.9771808611176096	-0.1618677167669249	1.5832072023799235	0.2721543370582075	0.0017182058973632926	0.9999994547142844
235346	297	6782.554079055786	-192.85751866126455	-208.41391810649583	129.33316471208283	-0.0682843992235447	-422.7979599081422	-748.1875	-748.3532	21.61287441253662	21.087766790390013	756.17412109375	96833.555	97975.945	0.0	0.0	116423	232847	-9.387522	-9.378977	0.01675290962215513	0.01817944322247058	9.19735860824585	14.639392	14.575846	0.0	0.0	11643	23287	0.14473387543951932	0.4911356161932974	0.7018584721941605	0.26606621607070136	-0.3134596486623159	1.3338650124219287	0.18589976334855735
